6
 num     #instances         #bytes  class name
 156:            60           1920  java.util.LinkedList
 157:            24           1920  sun.net.www.protocol.jar.URLJarFile
 158:            79           1896  java.util.Collections$UnmodifiableRandomAccessList
 159:           117           1872  org.jetbrains.jps.model.impl.JpsProjectElementReference
 160:            78           1872  sun.misc.ProxyGenerator$ExceptionTableEntry
 161:            77           1848  java.lang.invoke.MethodHandles$Lookup
 162:            77           1848  sun.reflect.annotation.AnnotationInvocationHandler
 163:            57           1824  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
 164:            57           1824  java.lang.reflect.Proxy$Key1
 165:            75           1800  sun.nio.fs.WindowsPathParser$Result
 166:            17           1792  [Z
 167:            74           1776  sun.reflect.generics.visitor.Reifier
 168:            73           1752  sun.reflect.generics.parser.SignatureParser
 169:             4           1696  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 170:            53           1696  java.io.FilePermission
 171:            42           1680  java.io.ObjectStreamField
 172:            69           1656  java.util.Arrays$ArrayList
 173:            66           1584  java.security.Provider$ServiceKey
 174:             1           1568  [[B
 175:            28           1568  java.lang.invoke.LambdaFormEditor$Transform
 176:            27           1512  java.security.Provider$Service
 177:            47           1504  java.security.Permissions
 178:            93           1496  [Ljava.nio.file.LinkOption;
 179:            63           1488  [Ljava.lang.reflect.Type;
 180:            31           1488  java.util.Hashtable
 181:            30           1440  sun.misc.ProxyGenerator$MethodInfo
 182:             4           1408  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl
 183:            44           1408  java.lang.reflect.WeakCache$CacheKey
 184:            22           1408  java.nio.DirectByteBuffer
 185:            35           1400  com.intellij.util.containers.ConcurrentIntKeyWeakValueHashMap$MyRef
 186:            25           1400  sun.nio.cs.UTF_16BE$Decoder
 187:             1           1376  [Lsun.misc.FDBigInteger;
 188:            43           1376  java.util.concurrent.locks.ReentrantLock$NonfairSync
 189:            86           1376  sun.nio.ch.FileDispatcherImpl
 190:            58           1368  [Lsun.reflect.generics.tree.FieldTypeSignature;
 191:            34           1360  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 192:            42           1344  java.io.DataInputStream
 193:            33           1320  com.intellij.util.containers.SLRUMap
 194:            41           1312  org.jdom.AttributeList
 195:            40           1280  java.lang.invoke.BoundMethodHandle$Species_L
 196:            80           1280  java.util.concurrent.atomic.AtomicReferenceArray
 197:            52           1248  java.util.Collections$UnmodifiableCollection$1
 198:            31           1240  java.util.HashMap$KeyIterator
 199:            38           1216  [Lorg.jdom.Attribute;
 200:            30           1200  sun.nio.fs.WindowsException
 201:            74           1184  [Ljava.nio.file.AccessMode;
 202:            74           1184  com.intellij.openapi.diagnostic.Log4jBasedLogger
 203:            48           1152  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 204:            36           1152  java.io.DataOutputStream
